org_list,0,1,total,prop_0,prop_1,diff
Buenos Ayres,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Callings,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Calculations,2,0,2,0.001759014951627089,0.0,0.001759014951627089
English & foreign coin all,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Elder Servants,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Par of Exchange,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Owner,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Penny,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Profession,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Plenty,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Patentees,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Relations and Acquaintance,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Sattin-Doublet,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Profit,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Stones,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Servant,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Shiping,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Riches,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Rider,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Stock of Flemish Prizes,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Coach,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Spanish Tobacco,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Standard,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Soldiers,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Times,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Triumphant Chariot,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Trade to England,2,0,2,0.001759014951627089,0.0,0.001759014951627089
The Accidental Reciprocal Exchanges,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Marks,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Lowndes’s Essay,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Knights and Gentry,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Lawns,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Mace,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Doors,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Memories,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Guiny,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Growers and Clothiers,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Houses of Parliament,2,0,2,0.001759014951627089,0.0,0.001759014951627089
House,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Immunities and Privileges,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Imperial Royal,2,0,2,0.001759014951627089,0.0,0.001759014951627089
King's Customs,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Interest,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Law on Butchers,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Latter,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Justice,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Exchequer,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Freight,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Flem,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Eton,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Gold or Bullion,2,0,2,0.001759014951627089,0.0,0.001759014951627089
the Public Interest,2,0,2,0.001759014951627089,0.0,0.001759014951627089
the Starlin Standard,2,0,2,0.001759014951627089,0.0,0.001759014951627089
the Silver Coin,2,0,2,0.001759014951627089,0.0,0.001759014951627089
"the Seas, Th'",2,0,2,0.001759014951627089,0.0,0.001759014951627089
English Merchants,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Essential to Trade as Victuals,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Fathers,2,0,2,0.001759014951627089,0.0,0.001759014951627089
the Provincial Mints,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Barbadoes Sugars,2,0,2,0.001759014951627089,0.0,0.001759014951627089
the Owner of the Ship,2,0,2,0.001759014951627089,0.0,0.001759014951627089
the Nobility of England,2,0,2,0.001759014951627089,0.0,0.001759014951627089
the Natiue Commodities,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Anderson’s Diplomata Scotiae,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Assignes,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Annum,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Army,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Clothes,12,6,18,0.010554089709762533,0.008902077151335312,0.0016520125584272207
Money,5,2,7,0.0043975373790677225,0.002967359050445104,0.0014301783286226185
MICHAELMAS,3,1,4,0.002638522427440633,0.001483679525222552,0.0011548429022180812
Usury,3,1,4,0.002638522427440633,0.001483679525222552,0.0011548429022180812
