entity,label,count
one thousand ducats,QUANTITY,3
fifty and six pence,MONEY,3
Antuerpe,PERSON,3
C.D. the Merchant,WORK_OF_ART,3
thousand,CARDINAL,3
Commodities of Trade,ORG,3
Officers,WORK_OF_ART,3
dealeth,NORP,3
Shipping,PERSON,3
one hundred,CARDINAL,3
Asper,ORG,3
Mints,ORG,3
netherlands Golden Riders,ORG,3
every three months,DATE,3
the days,DATE,3
41,CARDINAL,3
the last of September,DATE,3
43,CARDINAL,3
44,CARDINAL,3
Admiralty,PRODUCT,3
Proclamation,WORK_OF_ART,3
Article,LAW,3
Towns,ORG,3
Gold and Silver Bullion,ORG,3
the Generals of Mints,ORG,3
these united Provinces,ORG,3
Magistrates,LOC,3
three guilders,MONEY,3
Our said Proclamation,ORG,3
the Council of the Admiralty,ORG,3
Lords,ORG,3
fourteen days,DATE,3
Committees,ORG,3
14 days,DATE,3
the Estates General,ORG,3
ten ounces,QUANTITY,3
monthly,DATE,3
Shahes,PERSON,3
Cardinal Wolsey,PERSON,3
6 pence,MONEY,3
the King's Custom,ORG,3
seventeen,CARDINAL,3
Persons,PERSON,3
Markets,ORG,3
Confession,ORG,3
the Complaint of our Clothiers,ORG,3
Foreign Dealers,ORG,3
the Societies of Merchants,ORG,3
Foreign-Merchants,ORG,3
Three or Four years,DATE,3
the Baseness of this Manufacture,ORG,3
Portugal Sugars,ORG,3
the Exportation of Woollen Manufactures,ORG,3
the Trade of Turkey,GPE,3
Indians,NORP,3
Turkey Silk,ORG,3
the Exportation of our Woollen Manufacture,WORK_OF_ART,3
Silk,ORG,3
several years,DATE,3
Three,CARDINAL,3
Ulloa,PERSON,3
about 1570,DATE,3
the 25th,DATE,3
Westmoreland,GPE,3
Shropshire,GPE,3
Lionnois,PERSON,3
nine,CARDINAL,3
about eight,CARDINAL,3
the 1st,DATE,3
Elizabeth,PERSON,3
1436,DATE,3
thirteen,CARDINAL,3
one-third,CARDINAL,3
Mary,PERSON,3
51st,ORDINAL,3
